title,slug,topCategoryName,origin,price_unit
Pêches chair jaune vrac FILIERE QUALITE CARREFOUR,peches-chair-jaune-vrac-filiere-qualite-carrefour,Fruits et Légumes,FRANCE,3.99 € / KG
Pêches plates chair blanche,peches-plates-chair-blanche,Fruits et Légumes,ESPAGNE,3.00 € / KG
Pêches blanches,peches-blanches,Fruits et Légumes,ESPAGNE,2.25 € / KG
Pêches chair jaune,peches-chair-jaune,Fruits et Légumes,ESPAGNE,2.24 € / KG
Pêches blanches plates vrac,peches-blanches-plates-vrac,Fruits et Légumes,FRANCE,1.50 € / KG
Pêches blanches,peches-blanches,Fruits et Légumes,FRANCE,0.99 € / U
Pêches jaunes,peches-jaunes,Fruits et Légumes,FRANCE,3.00 € / KG
Pêches blanches mini,peches-blanches-mini,Fruits et Légumes,FRANCE,3.00 € / KG
Pêches jaunes mini,peches-jaunes-mini,Fruits et Légumes,FRANCE,3.00 € / KG
Pêches,peches,Fruits et Légumes,FRANCE,0.99 € / U
Pêches,peches,Fruits et Légumes,ORIGINE C.E.E.,2.49 € / KG
Pêches,peches,Fruits et Légumes,FRANCE,3.29 € / KG
Pêches blanches chair blanche vrac,peches-blanches-chair-blanche-vrac,Fruits et Légumes,FRANCE,0.99 € / KG
Plateau de prune rouge,plateau-de-prune-rouge,Fruits et Légumes,FRANCE,3.00 € / KG
Prune reine claude vrac Bio,prune-reine-claude-vrac-bio,Fruits et Légumes,FRANCE,2.09 € / KG
Prune Reine Claude,prune-reine-claude,Fruits et Légumes,FRANCE,1.80 € / KG
Prune Reine Claude Bio,prune-reine-claude-bio,Fruits et Légumes,FRANCE,7.98 € / KG
