title,slug,topCategoryName,origin,price_unit
Filets de hareng à la crème s/peau BALTIC,filets-de-hareng-a-la-creme-s-peau-baltic,Viandes et Poissons,,12.38 € / KG
Chutes de saumon fumé,chutes-de-saumon-fume,Viandes et Poissons,,21.93 € / KG
Mini blinis DELPEYRAT,mini-blinis-delpeyrat,Viandes et Poissons,,14.74 € / KG
Saumon fumé sauvage DELPEYRAT,saumon-fume-sauvage-delpeyrat,Viandes et Poissons,,72.64 € / KG
Truite fumée DELPEYRAT,truite-fumee-delpeyrat,Viandes et Poissons,,49.05 € / KG
Saumon Mariné Façon Gravlax Aneth et Citron DELPEYRAT,saumon-marine-facon-gravlax-aneth-et-citron-delpeyrat,Viandes et Poissons,,69.90 € / KG
Saumon mariné basilic et pointe de citron DELPEYRAT,saumon-marine-basilic-et-pointe-de-citron-delpeyrat,Viandes et Poissons,,69.90 € / KG
Salade Riz à la Provençale au Thon & Basilic BONDUELLE,salade-riz-a-la-provencale-au-thon-basilic-bonduelle,Charcuterie et Traiteur,,5.78 € / KG
Filets de harengs fumés SIMON,filets-de-harengs-fumes-simon,Viandes et Poissons,,11.75 € / KG
Salade au surimi et crabe SIMON,salade-au-surimi-et-crabe-simon,Viandes et Poissons,,9.79 € / KG
Salade de thon SIMON,salade-de-thon-simon,Viandes et Poissons,,9.99 € / KG
Tartinable  de thon SIMON,tartinable-de-thon-simon,Viandes et Poissons,,15.93 € / KG
Tartinable de thon SIMON,tartinable-de-thon-simon,Viandes et Poissons,,13.89 € / KG
Filet d'anchois marinés à l'ail et au persil BELMONTE,filet-d-anchois-marines-a-l-ail-et-au-persil-belmonte,Viandes et Poissons,,33.00 € / KG
Filet d'anchois  à l'huile d'olive LA MONEGASQUE,filet-d-anchois-a-l-huile-d-olive-la-monegasque,Viandes et Poissons,,20.24 € / KG
Anchois marinés à l'huile de tournesol,anchois-marines-a-l-huile-de-tournesol,Viandes et Poissons,ATLANTIQUE CENTRE EST (34),21.26 € / KG
Anchois marinés à l'ail et persil,anchois-marines-a-l-ail-et-persil,Viandes et Poissons,ATLANTIQUE CENTRE EST (34),21.26 € / KG
Anchois marinés à l'orientale,anchois-marines-a-l-orientale,Viandes et Poissons,ATLANTIQUE CENTRE EST (34),21.26 € / KG
Anchois marinés à la provençale,anchois-marines-a-la-provencale,Viandes et Poissons,ATLANTIQUE CENTRE EST (34),21.26 € / KG
Soupe de poissons PECHEURS DES CALANQUES,soupe-de-poissons-pecheurs-des-calanques,Viandes et Poissons,FRANCE,10.80 € / KG
Soupe de poisson de méditerranée PECHEURS DES CALANQUES,soupe-de-poisson-de-mediterranee-pecheurs-des-calanques,Viandes et Poissons,FRANCE,8.28 € / KG
Soupe de poissons PECHEURS DES CALANQUES,soupe-de-poissons-pecheurs-des-calanques,Viandes et Poissons,FRANCE,6.29 € / KG
Soupe de poisson bio PECHEURS DES CALANQUES,soupe-de-poisson-bio-pecheurs-des-calanques,Bio et Ecologie,FRANCE,10.80 € / KG
Rouille Bio PECHEURS DES CALANQUES,rouille-bio-pecheurs-des-calanques,Viandes et Poissons,FRANCE,33.33 € / KG
Bisque de homard LES PECHEURS DES CALANQUES,bisque-de-homard-les-pecheurs-des-calanques,Viandes et Poissons,FRANCE,10.80 € / KG
Soupe de poisson à la Bretonne MARIUS,soupe-de-poisson-a-la-bretonne-marius,Viandes et Poissons,FRANCE,5.99 € / KG
Filets d'anchois à l'huile d'olive MICELI,filets-d-anchois-a-l-huile-d-olive-miceli,Viandes et Poissons,,33.73 € / KG
Surimi CORAYA,surimi-coraya,Viandes et Poissons,,13.28 € / KG
Surimi râpé CORAYA,surimi-rape-coraya,Viandes et Poissons,,14.72 € / KG
Surimi + sauce cocktail CORAYA,surimi-sauce-cocktail-coraya,Viandes et Poissons,,15.19 € / KG
Surimi tranche de la mer au colin CORAYA,surimi-tranche-de-la-mer-au-colin-coraya,Viandes et Poissons,,14.75 € / KG
Saumon fumé à l'aneth,saumon-fume-a-l-aneth,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),14.39 € / KG
Paupiette au saumon à la Normande,paupiette-au-saumon-a-la-normande,Charcuterie et Traiteur,,3.45 € / KG
Coquille au surimi,coquille-au-surimi,Charcuterie et Traiteur,,2.80 € / U
Paté en croute de saumon farçi,pate-en-croute-de-saumon-farci,Charcuterie et Traiteur,,2.83 € / KG
Saumon fumé à découper Bio,saumon-fume-a-decouper-bio,Viandes et Poissons,FRANCE,93.27 € / KG
Terrine saumon GUYADER,terrine-saumon-guyader,Viandes et Poissons,,28.25 € / KG
Terrine noix de st jacques à la Bretonne GUYADER,terrine-noix-de-st-jacques-a-la-bretonne-guyader,Viandes et Poissons,,29.92 € / KG
Terrine aux noix de Saint Jacques à la Bretonne GUYADER,terrine-aux-noix-de-saint-jacques-a-la-bretonne-guyader,Charcuterie et Traiteur,,18.20 € / KG
Tartinable au saumon et au fromage fouetté MME LOIK GUYADER,tartinable-au-saumon-et-au-fromage-fouette-mme-loik-guyader,Viandes et Poissons,,24.92 € / KG
Terrine noix de St-Jacques,terrine-noix-de-st-jacques,Charcuterie et Traiteur,,32.92 € / KG
Terrine noix de St-Jacques GUYADER,terrine-noix-de-st-jacques-guyader,Viandes et Poissons,,19.00 € / KG
Terrine saumon/saumon fumé GUYADER,terrine-saumon-saumon-fume-guyader,Viandes et Poissons,,16.14 € / KG
Terrine au saumon et saumon fumé GUYADER,terrine-au-saumon-et-saumon-fume-guyader,Charcuterie et Traiteur,,29.17 € / KG
