"Date";"title";"slug";"product_family";"origin";"price";"total_kg_co2";"total_kg_co2_farming";"total_kg_co2_processing";"total_kg_co2_packaging";"total_kg_co2_transport";"total_kg_co2_retail";"total_kg_co2_consumption"
"09/12/2023";"Pavés de saumon avec peau sans arête";"paves-de-saumon-avec-peau-sans-arete";"Viandes et Poissons";"ROYAUME-UNI";8.99;1.39;1.04;0.0069;0.117;0.213;0.0102;0.0017
"08/09/2024";"Café capsules  Compatibles Nespresso Brazil Lungo intensité 8   NESCAFE FARMERS ORIGINS";"cafe";"Epicerie sucrée";"";2.8;0.028;0.0192;0.0008;0.0057;0.0018;0.0;0.0005
"02/11/2023";"Biscuits bio Fourrés Chocolat lait BJORG";"biscuits-bio-fourres-chocolat-lait-bjorg";"Epicerie sucrée";"";3.59;1.77;1.5;0.0749;0.162;0.0249;0.0083;0.0
"04/05/2023";"Café capsules  Compatibles Nespresso blonde expresso roast intensité 6  STARBUCKS";"cafe";"Epicerie sucrée";"";6.89;0.0597;0.041;0.0017;0.0121;0.0038;0.0001;0.0011
"08/08/2022";"Glace Bâtonnet Cookie White CARREFOUR SENSATION";"yaourt";"Surgelés";"";3.09;0.758;0.412;0.0608;0.169;0.0989;0.0148;0.0027
"07/08/2024";"Vin Blanc A.O.P. Alsace Auxerrois JEAN GEILER";"vin";"Boissons";"";6.35;0.951;0.226;0.0248;0.509;0.175;0.0118;0.0051
"20/11/2024";"Fromage Râpé Parmigiano Reggiano AOP GALBANI";"fromage";"Crèmerie et Produits laitiers";"";1.95;0.352;0.292;0.0163;0.0255;0.0153;0.0022;0.0004
"26/07/2023";"Chocolat au lait Lapin de Pâques KINDER";"chocolat-au-lait-lapin-de-paques-kinder";"Epicerie sucrée";"";3.4;0.868;0.736;0.0366;0.0794;0.0122;0.0041;0.0
"27/02/2023";"Tablette de chocolat Noir 70% Cacao Sel Rose LINDT EXCELLENCE";"tablette-de-chocolat-noir-70-cacao-sel-rose-lindt-excellence";"Epicerie sucrée";"";2.39;0.123;0.0665;0.0151;0.0241;0.0152;0.0018;0.0
"17/07/2024";"Soda Sans Sucres à l'orange ORANGINA";"soda";"Boissons";"";3.15;0.977;0.179;0.0258;0.273;0.414;0.0719;0.0135
"13/03/2023";"Fromage bio assortiment L'ATELIER CHATEAUBOURG";"fromage";"Crèmerie et Produits laitiers";"";15.9;1.61;1.34;0.0746;0.117;0.0703;0.0101;0.0019
"18/06/2022";"Sorbet citron fruits rouges et éclats de noisettes CHARLES & ALICE";"sorbet-citron-fruits-rouges-et-eclats-de-noisettes-charles-alice";"Surgelés";"";5.49;0.237;0.0601;0.0;0.0;0.126;0.0079;0.0428
"13/09/2023";"Infusion tilleul miel CARREFOUR CLASSIC'";"the";"Epicerie sucrée";"";1.65;0.0017;0.0009;0.0;0.0003;0.0001;0.0;0.0005
"13/12/2024";"Asperges blanches CARREFOUR EXTRA";"asperges-blanches-carrefour-extra";"Epicerie salée";"";2.99;0.515;0.305;0.0001;0.0;0.131;0.0115;0.0675
"03/06/2022";"Yaourt de brebis myrtille SOIGNON";"yaourt-de-brebis-myrtille-soignon";"Crèmerie et Produits laitiers";"";2.89;0.405;0.284;0.0;0.0;0.108;0.009;0.0044
"31/01/2022";"Vin Blanc Loire Saint-Pourçain DOMAINE GARDIEN FRERES";"vin";"Boissons";"";9.1;0.952;0.226;0.0248;0.509;0.175;0.0118;0.0051
"04/11/2024";"Vin Rosé Portugal MATEUS THE ORIGINAL";"vin";"Boissons";"";5.29;0.952;0.226;0.0248;0.51;0.175;0.0118;0.0051
