title;slug;product_family;origin;price;total_g_co2;total_g_co2_farming;total_g_co2_processing;total_g_co2_packaging;total_g_co2_transport;total_g_co2_retail;total_g_co2_consumption
Graines de lin ALNATURA;graines-de-lin-alnatura;Fruits et Légumes;;1,85;0;0;0;0;0;0;0
Graines de tournesol ALNATURA;graines-de-tournesol-alnatura;Fruits et Légumes;;1,65;0;0;0;0;0;0;0
Graines de tournesol ALNATURA;graines-de-tournesol-alnatura;Fruits et Légumes;;2,55;0;0;0;0;0;0;0
Graines de chia ALNATURA;graines-de-chia-alnatura;Fruits et Légumes;;1,85;0;0;0;0;0;0;0
Graines de chia ALNATURA;graines-de-chia-alnatura;Fruits et Légumes;;3,15;0;0;0;0;0;0;0
Graines de chanvre Bio SUPERME;graines-de-chanvre-bio-superme;Fruits et Légumes;;6,75;0;0;0;0;0;0;0
Graines de chia Bio SUPERME;graines-de-chia-bio-superme;Fruits et Légumes;;4,85;0;0;0;0;0;0;0
Graines de courge bio CARREFOUR BIO;graines-de-courge-bio-carrefour-bio;Fruits et Légumes;;3,09;0,128;0,041;0;0;0,065;0,0055;0,0161
Graines de tournesol grillées salées SUN FRUITS SECS;graines-de-tournesol-grillees-salees-sun-fruits-secs;Fruits et Légumes;ARGENTINE;3,45;0;0;0;0;0;0;0
Graines de tournesol CARREFOUR BIO;graines-de-tournesol-carrefour-bio;Fruits et Légumes;;1,59;0;0;0;0;0;0;0
Graines de tournesol PLAZA DEL SOL;graines-de-tournesol-plaza-del-sol;Fruits et Légumes;;2,15;0;0;0;0;0;0;0
Graines grillées apéro mozzarella et thym;graines-grillees-apero-mozzarella-et-thym;Fruits et Légumes;;2,45;0;0;0;0;0;0;0
Graines grillées apéro TOMATE ET BASILIC;graines-grillees-apero-tomate-et-basilic;Fruits et Légumes;;2,45;0,0563;0,02;0;0;0,0268;0,0023;0,0073
Graines grillées apéro moutarde et romarin;graines-grillees-apero-moutarde-et-romarin;Fruits et Légumes;;2,45;0;0;0;0;0;0;0
Mélange chocolat blanc et fruits secs MAITRE PRUNILLE;melange-chocolat-blanc-et-fruits-secs-maitre-prunille;Fruits et Légumes;FRANCE;3,99;1,97;1,67;0,0833;0,181;0,0277;0,0093;0
Mélange amandes caramel fruits secs MAITRE PRUNILLE;melange-amandes-caramel-fruits-secs-maitre-prunille;Fruits et Légumes;FRANCE;3,99;0;0;0;0;0;0;0
Mélange de graines pour salade ALNATURA;melange-de-graines-pour-salade-alnatura;Fruits et Légumes;;1,95;0;0;0;0;0;0;0
Mélange de graines ALNATURA;melange-de-graines-alnatura;Fruits et Légumes;;2,25;0;0;0;0;0;0;0
Mélange de 4 graines grillées  sans sel ajouté DACO BELLO;melange-de-4-graines-grillees-sans-sel-ajoute-daco-bello;Fruits et Légumes;FRANCE;4,65;0;0;0;0;0;0;0
Mélange de noix CARREFOUR LE MARCHE;melange-de-noix-carrefour-le-marche;Fruits et Légumes;BELGIQUE;4;0,823;0,614;0;0,0752;0,0592;0,0098;0,0646
Noix de cajou grillées sans sel ajouté CARREFOUR LE MARCHE;noix-de-cajou-grillees-sans-sel-ajoute-carrefour-le-marche;Fruits et Légumes;VIET NAM;4,5;0,741;0,553;0;0,0677;0,0533;0,0088;0,0581
Noix de cajou herbes de Provence CARREFOUR LE MARCHE;noix-de-cajou-herbes-de-provence-carrefour-le-marche;Fruits et Légumes;ORIGINE PAYS TIERS;4,5;0,741;0,553;0;0,0677;0,0533;0,0088;0,0581
Noix de pécan CARREFOUR LE MARCHE;noix-de-pecan-carrefour-le-marche;Fruits et Légumes;ETATS-UNIS;4,5;0,658;0,491;0;0,0602;0,0474;0,0078;0,0517
Batavia SIMPL;batavia-simpl;Fruits et Légumes;FRANCE;0,99;0;0;0;0;0;0;0
Feuille  de mâche BONDUELLE;feuille-de-mache-bonduelle;Fruits et Légumes;FRANCE;1,59;0,0868;0,0181;0,0001;0;0,0397;0,0075;0,0215
Iceberg carotte et chou rouge LES CRUDETTES;iceberg-carotte-et-chou-rouge-les-crudettes;Fruits et Légumes;ORIGINE C.E.E.;2,25;0,119;0,0248;0;0;0,0786;0,0057;0,0097
Laitue FLORETTE;laitue-florette;Fruits et Légumes;FRANCE;1,5;0,144;0,102;0,0016;0,012;0,0268;0,002;0
Laitue;laitue;Fruits et Légumes;ORIGINE C.E.E.;1,15;0,144;0,102;0,0016;0,012;0,0268;0,002;0
Mâche BONDUELLE;mache-bonduelle;Fruits et Légumes;FRANCE;2,65;0,174;0,0362;0,0001;0;0,0794;0,0149;0,043
Mâche SIMPL;mache-simpl;Fruits et Légumes;ORIGINE C.E.E.;0,99;0,0781;0,0163;0;0;0,0357;0,0067;0,0194
